# scene_asset_ref.txt - 场景资产源引用清单
# 由 merge_new_assets.py 自动生成, 更新时间: 2026-09-22 15:39:44
# 格式: 资产路径 | 类别 | 尺寸 | 调整建议

# 1. 地面/地形 (ground) - 共 24 个

/Game/PolyHaven/Celandine/Celandine_1k.Celandine_1k | 地面/地形 | 223.9 x 30.7 x 18.6 | 可直接使用
/Game/Generated/MM_LandscapeBase.MM_LandscapeBase | 地面/地形 | Material | -
/Game/Ground003.Ground003 | 地面/地形 | Texture2D | -
/Game/Ground003_4K-JPG_Color.Ground003_4K-JPG_Color | 地面/地形 | Texture2D | -
/Game/Ground003_4K-JPG_Color_jpg.Ground003_4K-JPG_Color_jpg | 地面/地形 | Texture2D | -
/Game/Ground003_4K-JPG_Displacement.Ground003_4K-JPG_Displacement | 地面/地形 | Texture2D | -
/Game/Ground003_4K-JPG_Displacement_jpg.Ground003_4K-JPG_Displacement_jpg | 地面/地形 | Texture2D | -
/Game/Ground003_4K-JPG_NormalDX.Ground003_4K-JPG_NormalDX | 地面/地形 | Texture2D | -
/Game/Ground003_4K-JPG_NormalGL.Ground003_4K-JPG_NormalGL | 地面/地形 | Texture2D | -
/Game/Ground003_4K-JPG_NormalGL_jpg.Ground003_4K-JPG_NormalGL_jpg | 地面/地形 | Texture2D | -
/Game/Ground003_4K-JPG_Roughness.Ground003_4K-JPG_Roughness | 地面/地形 | Texture2D | -
/Game/Ground003_4K-JPG_Roughness_jpg.Ground003_4K-JPG_Roughness_jpg | 地面/地形 | Texture2D | -
/Game/Ground003_4K_JPG.Ground003_4K_JPG | 地面/地形 | Material | -
/Game/MapForge/GB_LandingField.GB_LandingField | 地面/地形 | World | -
/Game/MapForgeTest/GB_AllTerrain_1km.GB_AllTerrain_1km | 地面/地形 | World | -
/Game/MapForgeTest/GB_RealisticAllTerrain.GB_RealisticAllTerrain | 地面/地形 | World | -
/Game/MapForgeTest/GB_RidgeDirtFarmland2km.GB_RidgeDirtFarmland2km | 地面/地形 | World | -
/Game/MapForgeTest/GB_SmartAgriDroneFieldTerrain.GB_SmartAgriDroneFieldTerrain | 地面/地形 | World | -
/Game/MapForgeTest/GB_TestLandscape.GB_TestLandscape | 地面/地形 | World | -
/Game/PolyHaven/Celandine/celandine_01.celandine_01 | 地面/地形 | MaterialInstanceConstant | -
/Game/PolyHaven/Celandine/celandine_01_alpha_1k.celandine_01_alpha_1k | 地面/地形 | Texture2D | -
/Game/PolyHaven/Celandine/celandine_01_diff_1k.celandine_01_diff_1k | 地面/地形 | Texture2D | -
/Game/PolyHaven/Celandine/celandine_01_nor_gl_1k.celandine_01_nor_gl_1k | 地面/地形 | Texture2D | -
/Game/PolyHaven/Celandine/celandine_01_rough_1k.celandine_01_rough_1k | 地面/地形 | Texture2D | -

# 2. 树木植被 (vegetation_tree) - 共 920 个

/Game/Fab/Maple_Tree_Scan_Trunk_4_LOD/maple_tree_scan_trunk_4_lod/StaticMeshes/maple_tree_scan_trunk_4_lod.maple_tree_scan_trunk_4_lod | 树木植被 | 5873.8 x 1797.5 x 2115.6 | Z+1792(原点居中)
/Game/Fab/Tree/realistic_tree/StaticMeshes/realistic_tree.realistic_tree | 树木植被 | 1435.0 x 1172.5 x 1605.5 | Z+1574(原点居中)
/Game/Fab/Tree_test/tree_test/StaticMeshes/tree_test.tree_test | 树木植被 | 14.4 x 14.4 x 22.6 | 缩放x100
/Game/Foliage_Sets/VOL22_WildGrass/DEMO/5_10_scaleman.5_10_scaleman | 树木植被 | 135.1 x 35.8 x 177.8 | 可直接使用
/Game/Foliage_Sets/VOL22_WildGrass/DEMO/SM_Plane_01a.SM_Plane_01a | 树木植被 | 400.1 x 400.1 x 13.5 | 可直接使用
/Game/Foliage_Sets/VOL22_WildGrass/Meshes/SM_Dead_Plants_01a.SM_Dead_Plants_01a | 树木植被 | 48.9 x 49.8 x 50.5 | Z+48(原点居中)
